KEY,en-US,fr-FR,WorkaroundLocalization - NE PAS SUPPRIMER CE TEXTE
DE_SDL_POL_FAC2_NAME,Spreading culture,Étalage de culture,
DE_SDL_POL_FAC3_DESC,"The more powerful your factions are, the more influential the city will be. And if that means takinghistorical wealth from some and redistributing it to others, so be it.","Plus vos factions seront puissantes, plus la ville sera influente. Et si pour cela, il faut récupérer les richesses historiques de certains pour les redistribuer aux autres, ainsi soit-il.",
DE_SDL_POL_FAC3_NAME,Shared wealth,Richesse partagée,
DE_SDL_PRO_BASE1_DESC,"If people's physiological problems are solved, they will be able to turn their attention to more important concerns: conquest, production, knowledge, innovation...","Si les problèmes des citoyens liés à la physiologie sont résolus, ils pourront se tourner vers des préoccupations plus importantes : la conquête, la production, le savoir, l'innovation...",
DE_SDL_PRO_BASE1_NAME,Mouths to feed,Bouches à nourrir,
DE_SDL_PRO_BASE2_DESC,"For too long, tensions have torn apart the factions present in the town. The Cultural Shutdown could temporarily resolve the conflicts between production factions.",Les tensions ont trop longtemps déchiré les factions présentes en ville. L'Arrêt culturel pourrait résoudre temporairement les conflits des factions de culture production.,
DE_SDL_PRO_BASE2_NAME,Cultural stop,Arrêt culturel,
DE_SDL_PRO_FAC1_DESC,"The proximity of the boulevards means that production factions can import and export their goods much more quickly, bringing in more money. This will have a major impact on their confidence.","La proximité avec les boulevards permet aux factions de production d'importer et d'exporter leurs marchandises beaucoup plus rapidement, rapportant ainsi plus d'argent. Leur confiance en serait fortement impactée.",
DE_SDL_PRO_FAC1_NAME,Fast lane,Voie rapide,
DE_SDL_PRO_FAC2_DESC,"The more your factions prosper, the easier it will be to take a wide range of actions in the city, and prosperity can be measured by the various culture points acquired and produced.","Plus vos factions prospèreront, plus il sera facile d'intenter des actions très diverses sur la ville, et la prospérité peut se mesurer grâce aux différents points de culture acquis et produits.",
DE_SDL_PRO_FAC2_NAME,Local crafts,Artisanat local,
DE_SDL_PRO_FAC3_DESC,PLACEHOLDER SDL (MECANIQUE A REVOIR),PLACEHOLDER SDL (MECANIQUE A REVOIR),
DE_SDL_PRO_FAC3_NAME,PLACEHOLDER SDL (MECANIQUE A REVOIR),PLACEHOLDER SDL (MECANIQUE A REVOIR),
DE_SDL_REL_BASE1_DESC,Belonging is a satisfaction that has often been lacking in the forgotten cities of the past. A great dynasty is based above all on a people who are prepared to follow their leaders no matter what.,L'appartenance est une satisfaction qui a souvent fait défaut aux cités oubliées du passé. Une grande dynastie se base avant tout sur un peuple qui est prêt à suivre ses dirigeants coute que coute.,
DE_SDL_REL_BASE1_NAME,A united people,Peuple soudé,
DE_SDL_REL_BASE2_DESC,"The various religious groups do not always agree on the superior forces, the ways in which they should be prayed to or the treatment of the faithful. Tensions could quickly boil over, and the aim of this decree is to temporarily suspend them before it's too late.","Les différents groupuscules religieux ne s'entendent pas toujours sur les forces supérieures, les façons de les prier ou encore sur le traitement des fidèles. Les tensions pourraient dégénérer rapidement, et ce décret a pour objectif de les suspendre provisoirement avant qu'il ne soit trop tard.",
DE_SDL_REL_BASE2_NAME,Religious tensions,Tensions religieuses,
DE_SDL_REL_FAC1_DESC,PLACEHOLDER SDL (MECANIQUE A REVOIR),PLACEHOLDER SDL (MECANIQUE A REVOIR),
DE_SDL_REL_FAC1_NAME,Uniqueness of faith,Unicité de la foi,
DE_SDL_REL_FAC2_DESC,Neighbouring towns are gradually joining the race to become the glittering city of this era. Religious factions are offering a helping hand to get us to the top of the podium.,Les villes voisines s'ajoutent progressivement à la course pour devenir la cité mirobolante de cette ère. Les factions religieuses proposent une aide certaine afin de nous hisser en haut du podium.,
DE_SDL_REL_FAC2_NAME,Divine growth,Croissance divine,
DE_SDL_REL_FAC3_DESC,"Hygienism aims to modify housing to prevent all the risks associated with poor hygiene. In this way, epidemics would spread less quickly, rubbish bins would be frequent and the spread of bacteria would be reduced.","L'hygiénisme vise à modifier les habitations pour prévenir tous les risques liés à une mauvaise hygiène. Ainsi, les différentes épidémies se propageraient moins rapidement, les poubelles seraient fréquentes et les propagations de bactéries réduites.",
DE_SDL_REL_FAC3_NAME,Prevention and cure,Prévenir et guérir,
DE_SURPRISE_RUINS_DESC,"Your inhabitants are very excited: some of them have unearthed artifacts and fragments of buildings buried deep underground. Columns are emerging from the ground, and faded frescoes are coming to light. Who knows, you might be in for a pleasant surprise by repairing them!","Vos habitants sont très excités : certains d'entre eux ont trouvé des artefacts et morceaux de bâtiments, enterrés profondément sous terre. Des colonnes sortent de terre et des fresques décolorées apparaissent. Qui sait, vous pourriez avoir une bonne surprise en les réparant !",
DE_SURPRISE_RUINS_DESTRUCT,Demolition gain,Gain de la démolition,
DE_SURPRISE_RUINS_NAME,Discovery of a ruin,Découverte d'une ruine,
DE_SURPRISE_RUINS_PHILOSOPHER_DYNASTY_DESC,"Thanks to your Philosopher dynastic specialization level, this ruin will increase your <color=#8ab7d6>blueprints</color> <sprite=52> production by [VALUE]%. (accumulated total: [VALUE2]%).","Grâce à votre niveau de spécialisation dynastique Philosophe, cette ruine augmentera votre production de <color=#8ab7d6>plans</color> <sprite=52> de [VALUE]%. (total accumulé : [VALUE2]%).",
DE_SURPRISE_RUINS_REPAIR,Cost of repair,Coût de la réparation,
DE_SURPRISE_RUINS_REPAIR_CYCLE,It would take [VALUE] cycles <sprite=42>,Prendra [VALUE] cycles <sprite=42>,
DECO_ANT_PLACE_01_DESC,Platea squares are the heart of the city. It's a place where people can meet up and talk about a wide range of subjects in between activities.,"Grandes places très prisées, les Platea représentent le coeur des villes. Chacun peut s'y retrouver pour échanger autour de sujets divers et variés, entre deux activités.",
DECO_ANT_PLACE_01_NAME,Plateia,Plateia,
DECO_ANT_PLACE_02_DESC,Areas are small gathering places close to public buildings. People enjoy walking around freely.,Les Area sont des petits lieux de rassemblements à proximité de bâtiments publics. Les citoyens apprécient le fait de s'y promener librement.,
DECO_ANT_PLACE_02_NAME,Area,Area,
DECO_FOUNDER_STATUE_DESC,This statue was created in honor of the city's first leaders. Residents will love living close by to contemplate two of the city's most illustrious personalities.,Cette statue a été créée en l'honneur des premiers dirigeants. Les habitants adoreront y vivre à proximité afin de contempler deux des personnalités les plus illustres de la ville.,
DECO_FOUNDER_STATUE_NAME,Statue of the founders,Statue des fondateurs,
DECO_MA_PLACE_01_DESC,"Public squares are often used for markets, public events, secret rendezvous or meetings.","Très souvent, les Places publiques abritent des marchés, des évènements publics, des rendez-vous secrets ou des réunions.",
DECO_MA_PLACE_01_NAME,Public square,Place publique,
DECO_MA_PLACE_02_DESC,"Very often set up in front of churches or cathedrals, the Parvis give rise to a wide variety of gatherings, corresponding to the desires and needs of the population.","Très souvent installées devant les églises ou les cathédrales, les Parvis donnent lieu à des rassemblements divers et variés, correspondant aux envies et aux besoins de la population.",
DECO_MA_PLACE_02_NAME,Parvis,Parvis,
DECO_MA_PLACE_03_DESC,The Village squares host a variety of fairs and celebrations. Local residents can set up stalls selling local produce.,Les Places du village abritent différentes foires et célébrations. Les habitants peuvent venir installer leurs échoppes afin de vendre des produits locaux.,
DECO_MA_PLACE_03_NAME,Village square,Place du village,
DECO_MA_PLACE_04_DESC,"Les Courtils sont des petites cours, utilisées pour la culture de légumes, d'herbes ou de fleurs. Les habitants peuvent venir les acheter à bas prix.","Les Courtils sont des petites cours, utilisées pour la culture de légumes, d'herbes ou de fleurs. Les habitants peuvent venir les acheter a bas prix.",
DECO_MA_PLACE_04_NAME,Courtil,Courtil,
DECO_RE_PLACE_01_DESC,"The French gardens are still little known to most of the population, but more and more nobles are enjoying these gardens with their geometric parterres.","Les Jardins à la française sont encore peu connus par la majorité des habitants, mais de plus en plus de nobles apprécient ces jardins aux parterres géométriques.",
DECO_RE_PLACE_01_NAME,French garden,Jardin à la française,
DECO_RE_PLACE_02_DESC,"These small squares are popular with residents and workers, who take advantage of their free time to stroll through these open spaces.","Ces petites places sont appréciées par les citoyens et les travailleurs, qui profitent de leur temps libre pour se promener dans ces espaces ouverts.",
DECO_RE_PLACE_02_NAME,Campo,Campo,
DECO_SDL_PLACE_01_DESC,The Royal squares were designed to please the nobility and the royal family. The various ponds and fountains make it the perfect place to recharge your batteries. The King would particularly appreciate the statues representing him.,Les Places royales sont aménagées pour plaire aux nobles et à la famille royale. Les différents bassins et fontaines qui la composent en font le parfait lieu pour se ressourcer. Le Roi appréciera particulièrement les statues le représentant.,
DECO_SDL_PLACE_01_NAME,Royal square,Place royale,
DECO_SDL_PLACE_02_DESC,These true botanical masterpieces have been specially designed for pleasure and relaxation. The noblest of your faction leaders will love the Pleasure gardens.,Ces véritables chefs-d'œuvre botaniques sont spécialement conçus pour le plaisir et la détente. Les plus nobles de vos chefs de factions adoreront les Jardins de plaisance.,
DECO_SDL_PLACE_02_NAME,Pleasure garden,Jardin de plaisance,
DESTINY_ADV_FUNC_COMMERCE,Allows you to assign [VALUE] <color=#ffffdf>workers</color> <sprite=82> during [CYCLE] cycles <sprite=42> to discover a new <color=#ead93b>trade route</color> <sprite=23>.,Permet d'assigner [VALUE] <color=#ffffdf>ouvriers</color> <sprite=82> pendant [CYCLE] cycles <sprite=42> pour découvre une nouvelle <color=#ead93b>route commerciale</color> <sprite=23>.,
DESTINY_ADV_FUNC_KNOW_HOW,Allows you to assign [VALUE] <color=#ffffdf>workers</color> <sprite=82> during [CYCLE] cycles <sprite=42> to discover 1 random <color=#03c2ec>skill</color> <sprite=25> among the undiscovered.,Permet d'assigner [VALUE] <color=#ffffdf>ouvriers</color> <sprite=82> pendant [CYCLE] cycles <sprite=42> pour découvrir 1 <color=#03c2ec>savoir-faire</color> <sprite=25> aléatoire parmi les non découverts.,
DESTINY_ADV_FUNC_MILITARY,Allows you to assign [VALUE] <color=#ffffdf>workers</color> <sprite=82> to gain 1 additional <color=#e6625d>general</color> <sprite=27> (cumulative).,Permet d'assigner  [VALUE] <color=#ffffdf>ouvriers</color> <sprite=82> pour gagner 1 <color=#e6625d>général</color> <sprite=27> supplémentaire (cumulable).,
DESTINY_ADV_FUNC_POLITICS,Allows you to assign [VALUE] <color=#ffffdf>workers</color> <sprite=82> to increase migration by [VALUE2]% (cumulative).,Permet d'assigner [VALUE] <color=#ffffdf>ouvriers</color> <sprite=82> pour augmenter la migration de [VALUE2]% (cumulable).,
DESTINY_ADV_FUNC_RELIGIOUS,Allows you to assign [VALUE] <color=#ffffdf>workers</color> <sprite=82> to reduce the cost of repairing weathered buildings by [PERCENT]%.,Permet d'assigner [VALUE] <color=#ffffdf>ouvriers</color> <sprite=82> pour diminuer le coût de réparation des bâtiments érodés par le temps de [PERCENT]%.,
DESTINY_ADV_FUNC_SLOT,Increases overall production of resources.,Augmente la production générale de ressources.,
DESTINY_ADV_FUNC_STOCK,Increases the value of stocks.,Augmente la valeur des stocks.,
DESTINY_ADVANCED_FUNCTIONALITIES_DESC,Your destiny level unlocks an advanced feature in the service buildings of a specific culture.,Votre niveau de destinée permet de débloquer une fonctionnalité avancée des bâtiments de service d'une culture spécifique.,
DESTINY_ADVANCED_FUNCTIONALITIES_TITLE,Advanced features,Fonctionnalités avancées,
DESTINY_ADVANTAGES_ARTISAN_LVL1,Natural resources are [VALUE]% more abundant,Les ressources naturelles sont [VALUE]% plus abondantes,
DESTINY_ADVANTAGES_ARTISAN_LVL2,Unlock advanced functionalities of <color=#ffb324>production</color> <sprite=70> service buildings,Débloque les fonctionnalités avancées des bâtiments de service <color=#ffb324>production</color> <sprite=70>,
DESTINY_ADVANTAGES_ARTISAN_LVL3,Mines and quarries harvest an additional resource,Les mines et les carrières récoltent une ressource simultanée en plus,
DESTINY_ADVANTAGES_ARTISAN_LVL4,Buildings require [VALUE]% fewer <color=#ffffdf>workers</color> <sprite=82>,Les bâtiments nécessitent [VALUE]% <color=#ffffdf>d'ouvriers</color> <sprite=82> en moins,
DESTINY_ADVANTAGES_COMMERCANT_LVL1,<color=#ead93b>Trade routes</color> <sprite=23> continue to generate passive income when caravans travel.,Les <color=#ead93b>routes commerciales</color> <sprite=23> continuent de générer un revenu passif lorsque les caravanes voyagent,
DESTINY_ADVANTAGES_COMMERCANT_LVL2,Unlock the advanced features of <color=#ead93b>commercial</color> <sprite=74> service buildings,Débloque les fonctionnalités avancées des bâtiments de service <color=#ead93b>commerce</color> <sprite=74>,
DESTINY_ADVANTAGES_COMMERCANT_LVL3,"<color=#ead93b>Trade routes</color> <sprite=23> stock increased by [VALUE]%, and reload speed reduced by [VALUE2]%","Le stock des <color=#ead93b>routes commerciales</color> <sprite=23> augmente de [VALUE]%, et leur vitesse de rechargement diminue de [VALUE2]%",
DESTINY_ADVANTAGES_COMMERCANT_LVL4,<color=#ead93b>Trade route</color> <sprite=23> can launch an additional caravan,Les <color=#ead93b>routes commerciales</color> <sprite=23> peuvent lancer une caravane supplémentaire,
DESTINY_ADVANTAGES_PHILOSOPHER_LVL1,Cultural buildings offer [VALUE]% more <color=#4ba38a>satisfactions</color> <sprite=95>,Les bâtiments culturels offrent [VALUE]% de <color=#4ba38a>satisfactions</color> <sprite=95> supplémentaires,
DESTINY_ADVANTAGES_PHILOSOPHER_LVL2,Unlock the advanced features of <color=#03c2ec>Educative</color> <sprite=73> service buildings,Débloque les fonctionnalités avancées des bâtiments de service <color=#03c2ec>éducation</color> <sprite=73>,
DESTINY_ADVANTAGES_PHILOSOPHER_LVL3,Increases <color=#8ab7d6>blueprints</color> <sprite=52> production by [VALUE]% for each ruin discovered,Augmente la production de <color=#8ab7d6>plans</color> <sprite=52> de [VALUE]% pour chaque ruine découverte,
DESTINY_ADVANTAGES_PHILOSOPHER_LVL4,Double the active <color=#03c2ec>know-how</color> <sprite=25> slots,Double les emplacements de <color=#03c2ec>savoir-faire</color> <sprite=25> actifs,
DESTINY_ADVANTAGES_POLITICIAN_LVL1,"2 additional <color=#ce7bba>decrees</color> <sprite=21> can be issued simultaneously, and the cost is reduced by [VALUE]%","Il est possible de passer 2 <color=#ce7bba>décrets</color> <sprite=21> supplémentaires en simultané, et leur coût est diminué de [VALUE]%",
DESTINY_ADVANTAGES_POLITICIAN_LVL2,Unlock the advanced features of <color=#ce7bba>Political</color> <sprite=75> service buildings,Débloque les fonctionnalités avancées des bâtiments de service <color=#ce7bba>politique</color> <sprite=75>,
DESTINY_ADVANTAGES_POLITICIAN_LVL3,The cost of corruption is reduced by [VALUE]%,Le coût de la corruption est diminué de [VALUE]%,
DESTINY_ADVANTAGES_POLITICIAN_LVL4,<color=#ce7bba>decrees</color> <sprite=21> can be cancelled and the amount invested in the remaining cycles <sprite=42> is refunded,Les <color=#ce7bba>décrets</color> <sprite=21> peuvent être annulés et la somme investie dans les cycles <sprite=42> restants est remboursée,
DESTINY_ADVANTAGES_PRIEST_LVL1,The <color=#ffffdf>population</color> <sprite=81> regularly makes offerings of random resources,La <color=#ffffdf>population</color> <sprite=81> fait régulièrement des offrandes de ressources aléatoires,
DESTINY_ADVANTAGES_PRIEST_LVL2,Unlocks the advanced features of Religion service buildings,Débloque les fonctionnalités avancées des bâtiments de service <color=#9aa7ff>religion</color>,
DESTINY_ADVANTAGES_PRIEST_LVL3,The <color=#ffffdf>population</color> <sprite=81> consumes  [VALUE]% fewer resources,La <color=#ffffdf>population</color> <sprite=81> consomme  [VALUE]% moins de ressources,
DESTINY_ADVANTAGES_PRIEST_LVL4,The impact of the attrition zone is reduced by [VALUE]%,L'impact de la zone d'attrition est diminué de [VALUE]%,
DESTINY_ADVANTAGES_SOLDIER_LVL1,"Incidents (<sprite=44>, <sprite=45>, <sprite=48>, <sprite=49>) are [VALUE]% less likely to occur and spread","Les incidents (<sprite=44>, <sprite=45>, <sprite=48>, <sprite=49>) ont [VALUE]% moins de chances de se produire et de se propager",
DESTINY_ADVANTAGES_SOLDIER_LVL2,Unlock the advanced features of <color=#e6625d>Military</color> service buildings <sprite=71> <color=#B7644C><b>(not implemented in game)</b></color>,Débloque les fonctionnalités avancées des bâtiments de service <color=#e6625d>Militaire</color> <sprite=71> <color=#B7644C><b>(non implémentée en jeu)</b></color>,
DESTINY_ADVANTAGES_SOLDIER_LVL3,The cost of building/upgrading ramparts <sprite=85> and boulevards was reduced by [VALUE]%,Le coût de construction/amélioration des remparts <sprite=85> et boulevards est réduit de [VALUE]%,
DESTINY_ADVANTAGES_SOLDIER_LVL4,The security area is [VALUE]% larger,La zone de sûreté est [VALUE]% plus grande,
DESTINY_ADVANTAGES_TITLE,Advantages,Avantages,
DESTINY_ARTISAN_DESC,"They're the ones who see nature as the source of creation, and aren't afraid to get their hands damaged.","Ils sont ceux qui voient la nature comme source de création, et n'ont pas peur de s'abîmer les mains.",
DESTINY_ARTISAN_TITLE,Craftsman,Artisan,
DESTINY_COMMERCANT_DESC,"Through importing and exporting, merchants developed a continuous link between peoples of different cultures and civilizations.","Grâce à l'import et l'export, les commerçants développent un lien continu entre les peuples des différentes cultures et civilisations.",
DESTINY_COMMERCANT_TITLE,Trader,Commerçant,
DESTINY_DESC,"Having left your ancestral lands to build your own city, what future awaits you?","Ayant quitté vos terres ancestrales pour bâtir votre propre cité, quel avenir vous attend?",
DESTINY_LEVEL_UP_DESC,You're faced with a choice: continue in the footsteps of your ancestors or embark on a completely new life path?,Un choix s'offre à vous : continuer sur les traces de vos ancêtres ou entamer un tout nouveau chemin de vie ?,
DESTINY_PHILOSOPHER_DESC,Understanding the mysteries of existence requires the dedication of more than one lifetime.,Comprendre les mystères de l'existence nécessite le dévouement de plus d'une vie.,
DESTINY_PHILOSOPHER_TITLE,Philosopher,Philosophe,
DESTINY_POLITICIAN_DESC,"Politicians must lead by example and unite their people. The greater the number of his opponents, the greater his success.","Le politicien doit montrer l'exemple et fédérer son peuple. Plus ses opposants seront nombreux, plus fort sera son succès.",
DESTINY_POLITICIAN_TITLE,Politician,Politicien,
DESTINY_PRIEST_DESC,"Priests dedicate their lives to others, be they fellow human beings or the higher powers in which they believe.","Le prêtre dédie sa vie à autrui, que ce soit à ses semblables ou aux puissances supérieures auxquelles il croit.",
DESTINY_PRIEST_TITLE,Priest,Prêtre,
DESTINY_SOLDIER_DESC,"This vocation is focused on the security of his people, even if it means living at the expense of his own.","Cette vocation se porte sur la sécurité de son peuple, quitte à vivre au détriment de la sienne.",
DESTINY_SOLDIER_TITLE,Strategist,Stratège,
DESTINY_TITLE,Your destiny,Votre destinée,
DESTINY_WINDOW_TITLE,Your destiny,Votre destinée,
DOWNTOWN_ANT_01_DESC,This camp symbolizes a new beginning for you and your citizens. What will be your next actions?,Ce camp symbolise un nouveau départ pour vos citoyens et vous-même. Quelles seront vos prochaines actions ?,
DOWNTOWN_ANT_01_TITLE,Ancient camp,Camp antique,
DOWNTOWN_ANT_02_DESC,"Your city is going through cycles and the citizens have organised themselves into various districts, each with its own objectives: food production, wood production, building creation and maintenance,etc. Everyone seems content with the current structure.","Votre ville traverse les cycles et les citoyens se sont organisés en différents quartiers, chacun avec leurs objectifs : production de nourriture, de bois, création de bâtiments et entretien... Tous semblent satisfaits de cette organisation.",
DOWNTOWN_ANT_02_TITLE,Improved ancient camp,Camp antique optimisé,
DOWNTOWN_ANT_03_DESC,"A growing number of citizens are building new plots of land. Drawn by this demographic movement, many factions are asking to join your town.","De plus en plus de citoyens construisent de nouveaux terrains. Attirées par ce mouvement démographique, de nombreuses factions demandent à rejoindre votre ville.",
DOWNTOWN_ANT_03_TITLE,Ancient city center,Centre-ville antique,
DOWNTOWN_ANT_04_DESC,"Your city has come a long way since you arrived, and you can be proud of that! In what direction do you plan to expand?","Votre ville a fait bien des progrès depuis votre arrivée, vous pouvez vous en féliciter ! Dans quelle direction prévoyez-vous de vous étendre ? Quelles seront vos prochaines actions ?",
DOWNTOWN_ANT_04_TITLE,Improved ancient city center,Centre-ville antique optimisé,
DOWNTOWN_ANT_05_DESC,"A true marvel of the ancient world, your capital city is the envy of other cities. Perhaps it's time to turn to other cities, and new Ages, to continue to prosper.","Véritable merveille du monde antique, votre capitale fait pâlir de jalousie les autres cités. Peut-être serait-ce l'heure de se tourner vers d'autres villes, et de nouveaux Âges, afin de continuer à prospérer.",
DOWNTOWN_ANT_05_TITLE,Ancient capital,Capitale antique,
DOWNTOWN_MID_01_DESC,"A new age means a new downtown. You've chosen to settle here, but will your citizens agree?","Un nouvel âge signifie un nouveau centre-ville. Vous avez choisi de vous installer ici, mais ce lieu fera-t-il l'unanimité chez vos citoyens ?",
DOWNTOWN_MID_01_TITLE,Medieval city center,Centre-ville médiéval,
DOWNTOWN_MID_02_DESC,"Your city grows, cycle after cycle. Despite a history at times turbulent, your home holds together, and usually as one. Factions are not always easy to reason with, yet a certain harmony  prevails within your city.","Votre cité grandit, cycles après cycles. Malgré l'Histoire parfois houleuse, votre foyer tient bon, le plus souvent soudé. Les factions ne sont pas toujours simples à raisonner, mais une certaine harmonie se dégage de votre cité.",
DOWNTOWN_MID_02_TITLE,Improved medieval city center,Centre-ville médiéval optimisé,
DOWNTOWN_MID_03_DESC,"New ramparts are erected, and your city stands firm. This city center signifies your influence extending across neighboring states.","De nouveaux remparts sont érigés, et votre cité tient bon. Ce centre-ville montre votre rayonnement à travers les autres états.",
DOWNTOWN_MID_03_TITLE,Medieval fortress,Forteresse médiévale,
DOWNTOWN_MID_04_DESC,"Brick by brick, stone by stone, your city continues to improve. Better homes, more productive work forces, happier people... If given the chance to alter aspects of your past, what changes would you have made?","Brique après brique, pierre après pierre, votre cité continue à s'améliorer. De meilleures habitations, des forces de travail plus productives, une population plus heureuse... Si vous aviez pu changer des éléments de votre passé, qu'auriez-vous modifié ?",
DOWNTOWN_MID_04_TITLE,Improved medieval fortress,Forteresse médiévale optimisée,
DOWNTOWN_MID_05_DESC,"This city center is a true capital of the medieval world. You attract the richest minds in the world, and many families want to benefit from your influence. Now an indisputable cultural power, you're the envy of other empires.","Ce centre-ville est une réelle capitale du monde médiéval. Vous attirez les plus riches esprits du monde entier et nombreuses sont les familles qui souhaitent bénéficier de votre rayonnement. Puissance culturelle indétrônable, les autres empires vous jalousent.",
DOWNTOWN_MID_05_TITLE,Medieval capital,Capitale médiévale,
DOWNTOWN_REN_01_DESC,"It's time for a new era in history, and there's no doubt that with a new city center of this stature, your people will prosper for a long time to come. The Dark Ages are over, and the Age of Enlightenment is upon us!","Il est temps d'entamer une nouvelle ère historique, et nuls doutes qu'avec un nouveau centre-ville de cette envergure, votre peuple prospérera encore longtemps. L'âge sombre se termine, place à l'âge des Lumières !",
DOWNTOWN_REN_01_TITLE,Renaissance city center,Centre-ville renaissant,
DOWNTOWN_REN_02_DESC,"New residents flock to your doorstep. From now on, you are recognized as an important cultural city in the entire region. Your wisdom and the rightness of your choices have been proven.","Les nouveaux habitants affluent devant vos portes. Désormais, vous êtes reconnu comme une ville culturelle importante dans la région entière. Votre sagesse et la justesse de vos choix n'est plus à prouver.",
DOWNTOWN_REN_02_TITLE,Improved renaissance town center,Centre-ville renaissant optimisé,
DOWNTOWN_REN_03_DESC,"Time passes, but your city prospers. Cycle after cycle, the hardships behind you seem insignificant. Few cities manage to overcome natural disasters, internal quarrels or violent political conflicts.","Le temps passe, mais votre cité prospère. Cycles après cycles, les épreuves derrière vous semblent bien insignifiantes. Rares sont les villes qui réussissent à surmonter des catastrophes naturelles, des querelles intestines ou encore des conflits politiques violents.",
DOWNTOWN_REN_03_TITLE,Renaissance chief town,Chef-lieu renaissant,
DOWNTOWN_REN_04_DESC,"Smiles can be seen on the faces of neighboring districts. With their hearts in the right place, residents are celebrating important anniversaries: yours, first and foremost, but also that of the city.","Les sourires se lisent sur les visages des quartiers voisins. Le cœur à la fête, les habitants souhaitent commémorer des anniversaires importants : le vôtre, tout d'abord, mais également celui de la ville.",
DOWNTOWN_REN_04_TITLE,Improved renaissance chief town,Chef-lieu renaissant optimisé,
DOWNTOWN_REN_05_DESC,"Your city is gradually becoming the closest thing to a capital in your era. Your economy is flourishing, your citizens' standard of living is satisfactory, your access to culture is honorable, and the surrounding rulers regard you with respect.","Votre ville arrive progressivement à ce qui se rapproche le plus d'une capitale de votre ère. Votre économie est florissante, le niveau de vie de vos citoyens est satisfaisant, votre accès à la culture est honorable, et les souverains alentours vous considèrent avec respect.",
DOWNTOWN_REN_05_TITLE,Renaissance capital,Capitale renaissante,
DOWNTOWN_SDL_01_DESC,"A new era is upon us, and many challenges lie ahead. The climate is uncertain, wars are brewing, our neighbors' supplies of materials and food are dwindling, and our people are tense. Will we make it to the end?","Une nouvelle ère s'offre à vous, et nombreux sont les défis qui vous barreront la route. Le climat est incertain, des guerres se préparent, les réserves de matériaux et de nourriture s'amenuisent chez nos voisins, nos habitants sont tendus. Arriverons-nous jusqu'au bout ?",
DOWNTOWN_SDL_01_TITLE,Bright city center,Centre-ville lumineux,
DOWNTOWN_SDL_02_DESC,"Today, your city no longer has much to prove to the world. At least, that's what some of its citizens think. Of course, there are still major steps to be taken to become the world's most prestigious city, but a well-deserved break wouldn't go amiss.","Aujourd'hui, votre ville n'a plus grand-chose à prouver au monde. Du moins, c'est ce que pense une partie des citoyens. Bien sûr, il y a encore de grandes étapes à passer pour devenir la plus prestigieuse ville du monde, mais une pause bien méritée ne serait pas de refus.",
DOWNTOWN_SDL_02_TITLE,Optimized bright city center,Centre-ville lumineux optimisé,
DOWNTOWN_SDL_03_DESC,"The Age of Enlightenment is advancing by leaps and bounds, and it's good to look back and see how far we've come. Your dynasty has cared for this city for thousands of cycles, braving all the hardships this world could bring.","Le Siècle des Lumières avance à pas de géant, et il est bon de se retourner afin d'observer tout ce que l'on a accompli. Votre dynastie a pris soin de cette ville durant des milliers de cycles, bravant toutes les épreuves que ce monde pouvait apporter.",
DOWNTOWN_SDL_03_TITLE,Major metropolis,Grande métropole,
DOWNTOWN_SDL_04_DESC,"The Age is coming to an end. What will you have learned? What would you do again if you could? Your citizens seem satisfied with your choices, and the city is doing well, despite the sometimes difficult trials of previous ages.","L'Âge touche à sa fin. Qu'aurez-vous appris ? Que referiez-vous si vous le pouviez ? Vos citoyens semblent satisfaits de vos choix, et la ville se porte bien, malgré les épreuves parfois difficiles des âges précédents.",
DOWNTOWN_SDL_04_TITLE,Optimized metropolis,Grande métropole optimisée,
DOWNTOWN_SDL_05_DESC,"The home stretch is ahead of you. Soon, your city's reign will either come to an end or endure for generations to come. Either way, your actions will have shaped the city and the destiny of its inhabitants.","La dernière ligne droite est devant vous. Bientôt, le règne de votre ville s'achèvera ou perdurera pour les générations à venir. Quoi qu'il en soit, vos actions auront façonné la ville et le destin des habitants.",
DOWNTOWN_SDL_05_TITLE,Major capital,Grande capitale,
DT_RADIUS_SECURITY_AREA,Radius security area [VALUE]m,Radius zone de sûreté : [VALUE]m,
DT_RESERVE_GLOBAL_DESC,"It is essential to keep an eye on your resources, and the different warehouses. Here you will have access to all your reserves and resources of the city. You will also be able to see the vacant resources, as well as their number.","Il est primordial de garder un œil sur ses ressources et les différents entrepôts. Ici, vous aurez accès à toutes vos réserves et aux ressources de la ville. Vous aurez également la possibilité de voir les ressources vacantes, ainsi que leur nombre.",
DT_RESERVE_LIST_LOCATION,Provides [VALUE] [RESOURCE] <sprite=[ID]> <color=#ffb324>storage space</color> <sprite=20>,Fournit [VALUE] emplacements de stockage de [RESOURCE] <sprite=[ID]>,
DT_RESERVE_PROVIDE_STOCK,Provides [VALUE] stocks,Fournit [VALUE] d'espace de stockage.,
DT_VALIDATION_WINDOW_UPGRADE_DOWNTOWN,Do you really want to upgrade [NAME] to level [VALUE]?,Voulez-vous vraiment faire évoluer [NAME] au niveau [VALUE] ?,
DT_VALIDATION_WINDOW_UPGRADE_DOWNTOWN_TITLE,Upgrade city center,Évolution du centre-ville,
ER_BUILDING_EROSION_BADLY_MAINTAINED_DESC,The building's condition has deteriorated. Its effects are reduced and it can no longer evolve.,L'état du bâtiment s'est dégradé. Ses effets sont réduits et il ne peut plus évoluer.,
